Code,ICP Metadata Note,Long Name,Income Group,ICP Participation,Region,Regional Program,Currency Unit,Special Notes,Table Name
AFG,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Islamic State of Afghanistan,,ICP 2021: Non-participation| Revised ICP 2017: Non-participation,,Non-participation,AFN: Afghani,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Afghanistan
ALB,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Albania,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,ALL: Lek,,Albania
DZA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",People's Democratic Republic of Algeria,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Africa,DZD: Algerian Dinar,,Algeria
AND,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Principality of Andorra,,ICP 2021: Non-participation | Revised ICP 2017: Non-participation,,Non-participation,EUR: Euro,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Andorra
AGO,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",People's Republic of Angola,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,AOA: Kwanza,,Angola
AIA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Anguilla,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,XCD: East Caribbean Dollar,,Anguilla
ATG,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Antigua and Barbuda,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,XCD: East Caribbean Dollar,,Antigua and Barbuda
ARG,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Argentine Republic,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,ARS: Argentine Peso,,Argentina
ARM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Armenia,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),ICP Commonwealth of Independent States,AMD: Armenian Dram,,Armenia
ABW,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Aruba,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,AWG: Aruban Florin,,Aruba
AUS,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Commonwealth of Australia,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),Eurostat-OECD,AUD: Australian Dollar,,Australia
AUT,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Austria,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Austria
AZE,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Azerbaijan,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),ICP Commonwealth of Independent States,AZN: Azerbaijan Manat,,Azerbaijan
BHS,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Commonwealth of The Bahamas,,ICP 2021: Non-participation| Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),,Non-participation,BSD: Bahamian Dollar,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.","Bahamas, The"
BHR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Bahrain,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,BHD: Bahraini Dinar,,Bahrain
BGD,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",People's Republic of Bangladesh,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),South Asia (Benchmark),ICP Asia and the Pacific,BDT: Taka,,Bangladesh
BRB,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Barbados,,ICP 2021: Non-participation| Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),,Non-participation,BBD: Barbados Dollar,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Barbados
BLR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Belarus,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),ICP Commonwealth of Independent States,BYN: Belarusian Ruble,,Belarus
BEL,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Belgium,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Belgium
BLZ,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Belize,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,BZD: Belize Dollar,,Belize
BEN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Benin,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XOF: CFA Franc BCEAO,,Benin
BMU,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",The Bermudas,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),North America (Benchmark),ICP Latin America and the Caribbean,BMD: Bermudian Dollar,,Bermuda
BTN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Bhutan,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),South Asia (Benchmark),ICP Asia and the Pacific,BTN: Ngultrum,,Bhutan
BOL,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Plurinational State of Bolivia,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,BOB: Boliviano,,Bolivia
BON,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Bonaire,,ICP 2021: Partial participation (ICP surveys for individual consumption expenditure by households only) | Revised ICP 2017: Partial participation (ICP surveys for individual consumption expenditure by households only),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,USD: US Dollar,,Bonaire
BIH,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Bosnia and Herzegovina,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,BAM: Convertible Mark,,Bosnia and Herzegovina
BWA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Botswana,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,BWP: Pula,,Botswana
BRA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Federative Republic of Brazil,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,BRL: Brazilian Real,,Brazil
VGB,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",British Virgin Islands,High income (Benchmark),ICP 2021: Partial participation (ICP surveys for individual consumption expenditure by households only) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,USD: US Dollar,,British Virgin Islands
BRN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Brunei Darussalam,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,BND: Brunei Dollar,,Brunei Darussalam
BGR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Bulgaria,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,BGN: Bulgarian Lev,,Bulgaria
BFA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Burkina Faso,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XOF: CFA Franc BCEAO,,Burkina Faso
BDI,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Burundi,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,BIF: Burundi Franc,,Burundi
CPV,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Cabo Verde,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,CVE: Cabo Verde Escudo,,Cabo Verde
KHM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Cambodia,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,KHR: Riel,,Cambodia
CMR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Cameroon,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XAF: CFA Franc BEAC,,Cameroon
CAN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Canada,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),North America (Benchmark),Eurostat-OECD,CAD: Canadian Dollar,,Canada
CYM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Cayman Islands,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,KYD: Cayman Islands Dollar,,Cayman Islands
CAF,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Central African Republic,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XAF: CFA Franc BEAC,,Central African Republic
TCD,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Chad,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XAF: CFA Franc BEAC,,Chad
CHL,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Chile,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),Eurostat-OECD,CLP: Chilean Peso,,Chile
CHN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",People's Republic of China,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,CNY: Yuan Renminbi,,China
COL,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Colombia,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),Eurostat-OECD,COP: Colombian Peso,,Colombia
COM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Union of the Comoros,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,KMF: Comorian Franc,,Comoros
COD,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Democratic Republic of the Congo,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,CDF: Congolese Franc,,"Congo, Dem. Rep."
COG,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Congo,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XAF: CFA Franc BEAC,,"Congo, Rep."
CRI,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Costa Rica,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),Eurostat-OECD,CRC: Costa Rican Colon,,Costa Rica
CIV,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Côte d'Ivoire,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XOF: CFA Franc BCEAO,,Cote d'Ivoire
HRV,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Croatia,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Croatia
CUW,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Curaçao,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,ANG: Netherlands Antillean Guilder,,Curacao
CYP,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Cyprus,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Cyprus
CZE,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Czech Republic,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,CZK: Czech Koruna,,Czechia
DNK,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Denmark,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,DKK: Danish Krone,,Denmark
DJI,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Djibouti,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Africa,DJF: Djibouti Franc,,Djibouti
DMA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Commonwealth of Dominica,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,XCD: East Caribbean Dollar,,Dominica
DOM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Dominican Republic,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,DOP: Dominican Peso,,Dominican Republic
ECU,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Ecuador,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,USD: US Dollar,,Ecuador
EGY,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Arab Republic of Egypt,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Africa &  ICP Western Asia (dual participation),EGP: Egyptian Pound,,"Egypt, Arab Rep."
SLV,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of El Salvador,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,USD: US Dollar,,El Salvador
GNQ,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Equatorial Guinea,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XAF: CFA Franc BEAC,,Equatorial Guinea
ERI,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",State of Eritrea,,ICP 2021: Non-participation| Revised ICP 2017: Non-participation,,Non-participation,ERN: Nakfa,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Eritrea
EST,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Estonia,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Estonia
SWZ,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Eswatini,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,SZL: Lilangeni,,Eswatini
ETH,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Federal Democratic Republic of Ethiopia,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,ETB: Ethiopian Birr,,Ethiopia
FRO,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Faroe Islands,,ICP 2021: Non-participation | Revised ICP 2017: Non-participation,,Non-participation,DKK: Danish Krone,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Faroe Islands
FJI,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Fiji,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,FJD: Fiji Dollar,,Fiji
FIN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Finland,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Finland
