Code,ICP Metadata Note,Long Name,Income Group,ICP Participation,Region,Regional Program,Currency Unit,Special Notes,Table Name
MKD,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of North Macedonia,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,MKD: Denar,,North Macedonia
NOR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Norway,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,NOK: Norwegian Krone,,Norway
OMN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Sultanate of Oman,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,OMR: Rial Omani,,Oman
PAK,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Islamic Republic of Pakistan,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),South Asia (Benchmark),ICP Asia and the Pacific,PKR: Pakistan Rupee,,Pakistan
PAN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Panama,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,PAB: Balboa,,Panama
PRY,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Paraguay,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,PYG: Guarani,,Paraguay
PER,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Peru,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,PEN: Sol,,Peru
PHL,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of the Philippines,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,PHP: Philippine Peso,,Philippines
POL,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Poland,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,PLN: Zloty,,Poland
PRT,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Portuguese Republic,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Portugal
PRI,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Puerto Rico,,ICP 2021: Non-participation| Revised ICP 2017: Non-participation,,Non-participation,USD: US Dollar,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Puerto Rico
QAT,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",State of Qatar,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,QAR: Qatari Rial,,Qatar
ROU,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Romania,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,RON: Romanian Leu,,Romania
RUT,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Russian Federation,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),ICP Commonwealth of Independent States,RUB: Russian Ruble,,Russian Federation
RWA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Rwanda,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,RWF: Rwanda Franc,,Rwanda
SMR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of San Marino,,ICP 2021: Non-participation| Revised ICP 2017: Non-participation,,Non-participation,EUR: Euro,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",San Marino
STP,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Democratic Republic of São Tomé and Principe,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,STN: Dobra,,Sao Tome and Principe
SAU,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Saudi Arabia,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,SAR: Saudi Riyal,,Saudi Arabia
SEN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Senegal,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XOF: CFA Franc BCEAO,,Senegal
SRB,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Serbia,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,RSD: Serbian Dinar,,Serbia
SYC,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Seychelles,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,SCR: Seychelles Rupee,,Seychelles
SLE,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Sierra Leone,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,SLL: Sierra Leonean Leone,,Sierra Leone
SGP,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Singapore,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,SGD: Singapore Dollar,,Singapore
SXM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Sint Maarten (Dutch part),,ICP 2021: Non-participation| Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),,Non-participation,ANG: Netherlands Antillean Guilder,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Sint Maarten
SVK,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Slovak Republic,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Slovak Republic
SVN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Slovenia,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Slovenia
SOM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Somali Democratic Republic,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Non-participation,Sub-Saharan Africa (Benchmark),ICP Africa,USD: US Dollar,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Somalia
ZAF,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of South Africa,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,ZAR: Rand,,South Africa
SSD,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of South Sudan,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Non-participation,Sub-Saharan Africa (Benchmark),ICP Africa,SSP: South Sudanese Pound,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",South Sudan
ESP,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Spain,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Spain
LKA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Democratic Socialist Republic of Sri Lanka,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),South Asia (Benchmark),ICP Asia and the Pacific,LKR: Sri Lanka Rupee,,Sri Lanka
KNA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",St. Kitts and Nevis,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,XCD: East Caribbean Dollar,,St. Kitts and Nevis
LCA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",St. Lucia,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,XCD: East Caribbean Dollar,,St. Lucia
VCT,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",St. Vincent and the Grenadines,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,XCD: East Caribbean Dollar,,St. Vincent and the Grenadines
SDN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of the Sudan,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa &  ICP Western Asia (dual participation),SDG: Sudanese Pound,,Sudan
SUR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Suriname,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,SRD: Surinam Dollar,,Suriname
SWE,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Sweden,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,SEK: Swedish Krona,,Sweden
CHE,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Switzerland,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,CHF: Swiss Franc,,Switzerland
SYR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Syrian Arab Republic,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Non-participation,Middle East & North Africa (Benchmark),ICP Western Asia,SYP: Syrian Pound,"The GDP and main aggregate expenditures are official figures from National Accounts; detailed expenditure levels are estimated by the regional implementing agency (United Nations Economic and Social Commission for Western Asia). For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Syrian Arab Republic
TWN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.","Taiwan, China",High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,TWD: New Taiwan Dollar,,"Taiwan, China"
TJK,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Tajikistan,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),ICP Commonwealth of Independent States,TJS: Somoni,,Tajikistan
TZA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",United Republic of Tanzania,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,TZS: Tanzanian Shilling,,Tanzania
THA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Thailand,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,THB: Baht,,Thailand
TLS,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Democratic Republic of Timor-Leste,,ICP 2021: Non-participation| Revised ICP 2017: Non-participation,,Non-participation,USD: US Dollar,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Timor-Leste
TGO,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Togo,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XOF: CFA Franc BCEAO,,Togo
TTO,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Trinidad and Tobago,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,TTD: Trinidad and Tobago Dollar,,Trinidad and Tobago
TUN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Tunisia,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Africa &  ICP Western Asia (dual participation),TND: Tunisian Dinar,,Tunisia
TUR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Türkiye,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,TRY: Turkish Lira,,Turkiye
TKM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Turkmenistan,,ICP 2021: Non-participation| Revised ICP 2017: Non-participation,,Non-participation,TMT: Turkmenistan New Manat,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Turkmenistan
TCA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Turks and Caicos Islands,,ICP 2021: Non-participation| Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),,Non-participation,USD: US Dollar,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Turks and Caicos Islands
UGA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Uganda,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,UGX: Uganda Shilling,,Uganda
UKR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Ukraine,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),ICP Special Participation,UAH: Hryvnia,,Ukraine
ARE,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",United Arab Emirates,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,AED: UAE Dirham,The GDP and main aggregate expenditures are official figures from National Accounts; detailed expenditure levels are estimated by the regional implementing agency (United Nations Economic and Social Commission for Western Asia).,United Arab Emirates
GBR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",United Kingdom of Great Britain and Northern Ireland,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,GBP: Pound Sterling,,United Kingdom
USA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",United States of America,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),North America (Benchmark),Eurostat-OECD,USD: US Dollar,,United States
URY,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Oriental Republic of Uruguay,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,UYU: Peso Uruguayo,,Uruguay
UZB,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Uzbekistan,Lower middle income (Benchmark),"ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Experimental Participation (Experimental survey data used for individual consumption expenditure by households, PPP for GDP was estimated by a regression model)",Europe & Central Asia (Benchmark),ICP Commonwealth of Independent States,UZS: Uzbekistan Sum,"For 2017 results based on experimental survery for individual consumption expenditure by households, PPPs and related data presented in this database are produced by the ICP Global Office and regional implementing agencies, based on data supplied by participating economies, and in accordance with the methodology recommended by the ICP Technical Advisory Group and approved by the ICP Governing Board. As such, these results are not produced by participating economies as part of their national official statistics.
For 2017, PPPs for GDP and actual individual consumption as well as expenditure data are estimated by the ICP Global Office.",Uzbekistan
VNM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Socialist Republic of Viet Nam,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,VND: Dong,,Viet Nam
VIR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Virgin Islands of the United States,,ICP 2021: Non-participation | Revised ICP 2017: Non-participation,,Non-participation,USD: US Dollar,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Virgin Islands (U.S.)
PSE,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",West Bank and Gaza,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,ILS: New Israeli Sheqel,,West Bank and Gaza
WLD,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",World (Benchmark),,,,,,"World"" indicated in PLI (world=100), world average and totals in this database are based on 173 countries that participated ICP 2021 cycle for full GDP classification. It does not include nonbenchmark economies nor countries with partial participation only for household consumption.",World (Benchmark)
ZMB,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Zambia,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,ZMW: Zambian Kwacha,,Zambia
ZWE,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Zimbabwe,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,USD: US Dollar,,Zimbabwe